customer_id,customer_name,email,phone,address,area,pincode,registration_date,customer_segment,total_orders,avg_order_value
31813,Indrajit Pau,wakeetasehgal@example.com,9.11786E+11,"66, Vora Chowk Maheshtala 376030",Sultan Pur Majra,666762,10-04-2024,Regular,2,1230.75
31826,Ekiya Pau,fbedi@example.com,9.19364E+11,"H.No. 336 Lad Zila, Hajipur-409871",Chinsurah,201602,29-11-2023,New,0,752.7800293
61020,Onkar Suresh,rudradeshpande@example.com,9.18421E+11,"88/40, Bora Zila, Phusro-161515",Kurnool,345635,27-07-2024,New,3,1703.160034
75482,Jeet Gandhi,amrita05@example.net,9.16684E+11,"95/861, Jaggi, Sikar-343285",Korba,298093,19-09-2024,Regular,0,1938.380005
119099,Zansi Parsa,neha08@example.com,9.12033E+11,"H.No. 40, Gopal Ganj, Bidar 854350",Kavali,692517,01-08-2023,Inactive,4,637.3499756
188838,Idika Basu,deepakhanna@example.com,9.14956E+11,"67, Karan Chowk Katihar 496332",Madanapalle,566155,16-07-2024,Inactive,2,799.1099854
191616,Brijesh Tata,yadavipatla@example.org,9.18144E+11,"19/151, Bera Nagar, Surendranagar Dudhrej-068367",Pallavaram,587079,27-04-2023,Regular,2,1053.699951
211163,Hiral Baral,bhavsaryagnesh@example.com,9.11313E+11,"H.No. 11 Sharma Chowk, Jhansi-302598",Satna,50152,10-06-2024,Regular,3,1169.109985
243838,Sudiksha Nagar,chandanikrish@example.net,9.13689E+11,H.No. 58 Cherian Zila Dhule 851724,Visakhapatnam,865844,16-05-2024,New,3,1158.27002
376144,Ira Chhabra,caleb02@example.com,9.14255E+11,H.No. 39 Sarkar Path Karawal Nagar-657936,Anantapuram,627253,19-12-2023,Regular,5,1784.319946
408590,Januja Zachariah,nakshsahni@example.net,9.16303E+11,25/639 Chandran Zila Kozhikode 329055,Jorhat,356268,11-03-2024,Regular,1,436.7399902
469006,Shivansh Loyal,darikaperi@example.net,9.10131E+11,"49, Garg Ganj Bhubaneswar-563425",Begusarai,814266,21-08-2023,Inactive,3,1393.199951
625395,Leena Loyal,devanshwalia@example.org,9.10364E+11,"H.No. 758 Bhardwaj Street, Jamalpur-645017",Siliguri,645207,27-03-2024,Premium,4,1794.26001
644189,Tanay Sahni,janya99@example.org,9.13486E+11,"H.No. 95 Bhasin Path, Raiganj 351412",Bhopal,899027,15-12-2023,Premium,1,793.8599854
666589,Kevin Bassi,jainchandani@example.net,9.12287E+11,25/224 Soni Ganj Visakhapatnam-398942,Morbi,852969,31-07-2023,Regular,1,465.3800049
701493,Ekaraj Saini,arya43@example.net,9.18673E+11,"H.No. 327, Borde Circle, Dibrugarh 462007",Shahjahanpur,845299,11-02-2024,Inactive,3,290.0700073
767523,Maya Khosla,khannaijaya@example.org,9.18702E+11,"H.No. 10 Venkatesh Street, Kakinada 570578",Vasai-Virar,375272,27-05-2023,Inactive,1,1737.280029
773410,Ladli Saha,gautami44@example.net,9.1365E+11,"72/38 Krish Street, Bijapur-804266",Kota,906115,25-06-2023,New,1,1694.790039
820740,Mekhala Sathe,naveennatt@example.com,9.14145E+11,"H.No. 20, Thakkar Marg Ambala 748990",Ambala,634784,15-11-2023,Premium,3,1385.459961
894128,Chatura Agarwal,harishom@example.net,9.19524E+11,58/69 Mallick Path Rajahmundry 318453,Durgapur,13150,20-07-2023,Inactive,0,1323.319946
899941,Lopa Venkataraman,gavinchoudhary@example.org,9.19236E+11,"H.No. 780, Oommen Chowk Satna 564861",Sambhal,12225,25-06-2024,Premium,2,1202.349976
949062,Jackson Karpe,sembhavika@example.net,9.10275E+11,"H.No. 81, Mital Ganj Mangalore 130050",Mau,106228,13-10-2023,Inactive,1,1947.140015
954629,Fiyaz Mand,naggarwal@example.com,9.15395E+11,"46/673 Magar Ganj, Panchkula 815005",Begusarai,107720,26-02-2024,New,1,1390.079956
966247,Jeevika Deo,sbalasubramanian@example.net,9.14779E+11,"894, Chanda Road Kamarhati 134874",Junagadh,410259,16-11-2023,Inactive,1,1110.76001
1060685,Yadavi Rajagopalan,dipta24@example.net,9.12609E+11,"48 Choudhary Ganj, Gorakhpur 965066",Mango,449803,07-03-2024,Inactive,0,999.2399902
1108176,Charita Chad,ekantika51@example.com,9.19496E+11,"99/756, Gour Marg Suryapet-685926",Bhalswa Jahangir Pur,902052,27-07-2023,Premium,2,1460.76001
1134585,Bhavani Rau,uppalvrishti@example.com,9.13706E+11,"61, Mitra Zila, Bhatpara-234618",Ghaziabad,553914,06-02-2024,Regular,0,1975.209961
1152215,Yachana Pathak,chakradevnigam@example.org,9.12969E+11,"067, Rao Street Motihari 908674",Dhanbad,251590,27-05-2024,Inactive,1,1637.430054
1174162,Anirudh Vig,hema05@example.com,9.13087E+11,46/798 Sangha Silchar 248580,Guna,413955,02-07-2023,Premium,3,1255.439941
1200365,Avni Mistry,rkurian@example.net,9.16473E+11,"29/45, Morar Road, Sangli-Miraj & Kupwad 629491",Thane,151739,21-06-2023,Regular,2,1170.73999
1301661,Yashvi Parekh,rmanne@example.net,9.13099E+11,"75/740, Tara Road, Pali 035417",Saharanpur,524586,26-12-2023,Inactive,1,623.7999878
1313292,Robert Kaur,mohinisarna@example.net,9.18401E+11,"92/24, Nanda Chowk, Belgaum-142848",Korba,990395,04-03-2024,Inactive,0,1275.410034
1342184,Girish Sem,krao@example.com,9.19415E+11,"783 Nigam Circle, Karawal Nagar-701964",Dehradun,774395,25-10-2024,Inactive,2,1893.829956
1449273,Forum Deol,pgarg@example.org,9.1819E+11,79 Chowdhury Mathura-017308,Pondicherry,562307,06-12-2023,New,2,1758.23999
1469696,Gaurangi Banerjee,raghavanjagrati@example.com,9.11997E+11,"98/623 Balasubramanian Zila, Alappuzha-147623",Jalna,74329,24-06-2023,Premium,2,1784.790039
1479065,Keya Grover,vbalakrishnan@example.org,9.1257E+11,"179, Sekhon Ganj Gurgaon-532079",Bokaro,717396,09-02-2024,New,0,1597.829956
1491857,Naveen Balakrishnan,xuppal@example.net,9.13875E+11,"21/938, Ravel Street, Gurgaon 597187",Morena,260718,05-06-2024,Premium,0,855.2399902
1497747,Nachiket Kalla,solankibarkha@example.org,9.17538E+11,83/053 Deshmukh Road Amravati-859834,Sangli-Miraj & Kupwad,323849,11-04-2024,Inactive,1,1241.72998
1507408,Kai Gara,dbera@example.net,9.16643E+11,"97/84, Dhaliwal Chowk Firozabad-233621",Bangalore,478862,21-03-2024,Inactive,3,972.2199707
1529180,Darsh Gokhale,randhawaaashi@example.com,9.12845E+11,406 Chanda Chowk Jalandhar 950864,Bareilly,516534,07-06-2024,Inactive,2,596.539978
1562083,Madhavi Mishra,inayabadal@example.net,9.1546E+11,"49/31 Chahal Road, Jalna-373980",Bhopal,405442,11-01-2024,Premium,2,695.0200195
1588560,Jeremiah Nath,faqidswaminathan@example.org,9.11111E+11,"16/09 Setty Nagar, Gopalpur 225399",Anantapuram,900047,01-12-2023,New,2,945.1799927
1589656,Xiti Prabhu,maharajmitesh@example.org,9.18617E+11,"H.No. 729, Raval Sambalpur 817241",Gorakhpur,374983,26-05-2024,Premium,0,1548.76001
1601161,Chanchal Thakur,faras36@example.com,9.11873E+11,"09/92 Oak Circle, Nandyal 041635",Amaravati,562508,24-05-2024,Inactive,5,589.3099976
1603358,Samaksh Randhawa,ubumb@example.com,9.15834E+11,"H.No. 78, Palla Sultan Pur Majra-672854",Gandhinagar,600850,09-06-2024,Inactive,3,1155.869995
1624115,Saksham Atwal,meghaatwal@example.org,9.12435E+11,"445, Pai Haldia 442073",Kochi,487872,26-10-2023,New,0,331.1000061
1655637,Turvi Radhakrishnan,mpandit@example.org,9.1913E+11,"H.No. 404, Bhalla Chowk Visakhapatnam 048875",Ichalkaranji,548633,17-09-2023,Regular,1,723.9500122
1662375,Tanmayi Yohannan,indrajitdhillon@example.com,9.14153E+11,"72, Saxena Marg Bellary-326727",Tiruchirappalli,783266,18-11-2023,New,0,1350.810059
1683786,Urvashi Balan,simonkade@example.org,9.16376E+11,"02/23 Dube Street, Bhagalpur 402715",Hajipur,775942,12-09-2023,Regular,2,776.5200195
1697604,Arjun Deep,vedant34@example.net,9.15495E+11,"H.No. 285 Gokhale Ganj, Chennai 327475",Bongaigaon,743452,24-07-2023,Regular,3,1970.150024
1705969,Qasim Kalla,ekannan@example.com,9.15256E+11,56/445 Jayaraman Marg Ichalkaranji-658913,Surat,962834,23-05-2024,Premium,2,877
1719710,Pushti Sabharwal,ramachandranharini@example.com,9.13657E+11,"49, Halder Circle, Dindigul-895174",Giridih,798390,26-06-2023,New,2,1332.819946
1771249,Samesh Devi,osant@example.org,9.12871E+11,95/77 Merchant Zila Faridabad-209978,Bathinda,348054,14-04-2023,New,1,790.7800293
1816969,Tejas Pillai,xsarin@example.org,9.18472E+11,"74/97, Warrior Ganj Tadepalligudem 137156",Vadodara,441464,05-03-2024,Premium,2,1902.689941
1855421,Jasmit Kibe,kabiranand@example.net,9.13618E+11,"94 Lal Road, Satara 661110",Kadapa,608163,30-06-2023,Inactive,2,260.2000122
1989720,Anusha Bahri,hemanginigour@example.org,9.17371E+11,"H.No. 78, Memon Marg, Bettiah-165769",Saharanpur,232753,10-11-2023,Inactive,2,239.7599945
2058037,Yutika Badal,biswastamanna@example.org,9.1978E+11,"H.No. 88, Konda Chowk Ahmednagar 017628",Rajkot,493628,17-11-2023,Inactive,4,1797.02002
2114782,Brinda Jha,bhardwajwyatt@example.com,9.17945E+11,H.No. 49 Pant Gulbarga-778142,Solapur,803955,29-05-2023,Premium,0,1354.660034
2134827,Vasudha Kalita,zaitra93@example.org,9.11089E+11,"21/239 Bedi, Bettiah-618106",Ambarnath,863663,22-10-2023,New,1,1710.75
2136830,Bhavya Goswami,saxenamadhavi@example.net,9.16953E+11,09/73 Bath Street Parbhani-673476,Bidhannagar,598513,19-09-2023,New,1,485.7799988
2164524,Kamala Natt,abha02@example.net,9.14519E+11,H.No. 130 Bhakta Chowk Morbi-605758,Rohtak,398241,16-04-2023,Inactive,4,754.9500122
2188994,Bimala Mitra,uarora@example.net,9.19473E+11,01/27 Murthy Circle Ratlam 179286,Patiala,635527,26-10-2023,Inactive,1,484.5100098
2219590,Upadhriti Sandhu,comarmugdha@example.org,9.11604E+11,"H.No. 054 Kala Chowk, Jamalpur-734290",Solapur,116736,24-09-2024,Regular,4,756.8400269
2233446,Wakeeta Pillay,handayashvi@example.com,9.18166E+11,"H.No. 67, Sahota Circle Kolkata-000516",Panihati,125919,27-12-2023,New,2,1466.449951
2234490,Amara Gala,gangasanghvi@example.com,9.14513E+11,"43, Gole Zila Hajipur 933661",Singrauli,529202,07-08-2024,Premium,0,1540.25
2361575,Aarnav Seth,banditeerth@example.org,9.14768E+11,H.No. 24 Mahal Circle Guwahati-694378,Faridabad,160994,14-09-2023,New,2,1993.089966
2365348,Zashil Varghese,rayaan71@example.net,9.18719E+11,"H.No. 059, Swamy Ganj Thoothukudi-956774",Siwan,119006,23-09-2024,Regular,1,1133.51001
2391900,Nisha Gokhale,priyasankaran@example.com,9.17827E+11,970 Oak Zila Rajahmundry 305834,Bhagalpur,348478,26-09-2024,New,1,897.7800293
2400009,Jonathan Korpal,liam03@example.org,9.17088E+11,"22/29, Chowdhury Path, Karimnagar 950098",Amaravati,690370,26-02-2024,Premium,3,1328.349976
2414265,Ayushman Bala,tkonda@example.net,9.10874E+11,"H.No. 86 Dyal, Solapur-311874",Sultan Pur Majra,6805,19-10-2023,New,2,571.9199829
2442235,Pushti Bhattacharyya,qmaharaj@example.org,9.10324E+11,H.No. 38 Loyal Street Vellore 607787,Latur,117097,17-05-2024,Premium,2,661.5800171
2457734,Onkar Garg,warhi85@example.com,9.14166E+11,"51/82, Sathe Marg Khora  495386",Ahmednagar,317271,27-05-2023,Premium,4,923.0599976
2517955,Charan Sharma,rsagar@example.org,9.19881E+11,"512, Mani Chowk Sikar-332566",Mathura,52692,28-02-2024,Regular,1,1625.439941
2558646,Vyanjana Dara,falakkunda@example.net,9.16023E+11,"58/325, Pingle Path, Kavali-936272",Bhusawal,516102,01-11-2024,Premium,3,920.8900146
2566268,Arjun Ratta,santutkarsh@example.net,9.17102E+11,99/643 Muni Karimnagar 116487,Mysore,644861,04-12-2023,Premium,5,1796.959961
2584499,Shivansh Tata,diya19@example.com,9.14402E+11,"55/121, Grewal Circle, Mehsana-928447",Ludhiana,880262,13-09-2024,Regular,3,1686.859985
2667357,Nathan Kaul,godavarenya@example.com,9.10778E+11,"81/284 Gopal Chowk, Rajkot-722713",Guntakal,819570,13-06-2024,Premium,1,1516.670044
2684440,Hamsini De,yashodharaanne@example.org,9.10538E+11,"28/37, Radhakrishnan Kakinada 773718",Ranchi,574868,05-09-2023,Premium,5,650.5999756
2848415,Anika Raja,ukamdar@example.org,9.14449E+11,"71/451, Sura Road, Nanded 621248",Aurangabad,529864,13-07-2024,Inactive,1,1798.130005
2875442,Arunima Vyas,buchayushman@example.net,9.15969E+11,"176, Krishnamurthy Ramgarh 170370",Bettiah,68994,19-07-2023,Premium,1,1858.800049
2903620,Bahadurjit Rama,faraj37@example.com,9.10992E+11,"418, Desai Chowk, Tiruvottiyur 558463",Proddatur,495945,11-05-2024,New,2,1815.060059
2928026,Vrishti Basak,gautamisrinivasan@example.com,9.15082E+11,"H.No. 40, Sekhon Chowk Ajmer 858814",Ahmedabad,960708,20-03-2024,New,1,280.4500122
3002538,Sanya Sule,watikasachar@example.net,9.11024E+11,"H.No. 335 Pathak Ganj, Ramagundam-658342",Sonipat,755769,10-07-2024,Inactive,2,489.9100037
3096845,Yashvi Chander,saksham67@example.com,9.14918E+11,"H.No. 43, Swaminathan Mau-891182",Guntakal,853373,22-10-2023,New,2,336.8099976
3100301,Wazir Saini,ishani86@example.com,9.15271E+11,"770, Oommen Orai-371934",Bathinda,892652,19-06-2023,New,1,1530.27002
3282647,Warda Pal,csinha@example.net,9.11556E+11,"39/439, Natt Lucknow 617952",Unnao,736234,15-01-2024,Premium,2,608.2700195
3292927,Nisha Iyer,vdalia@example.org,9.10256E+11,"H.No. 13, Dash Path, Bhatpara-468793",Rewa,320465,12-01-2024,New,3,1795.719971
3399251,Ekalinga Bhatt,karinakul@example.org,9.11258E+11,"H.No. 246, Narasimhan Nagar, Anand 951847",Solapur,498701,03-05-2023,New,1,937.1099854
3408982,Tripti Chakraborty,abhiramkunda@example.org,9.10687E+11,"19, Dara Zila Aligarh 920735",Bhatpara,119108,01-07-2023,Premium,4,656.9699707
3410758,Qabil Salvi,gandhibhavya@example.net,9.18055E+11,"16/72, Jhaveri Road Hubli–Dharwad 657248",Hazaribagh,293062,16-07-2023,Regular,1,1892.51001
3421258,Ishita Chaudhuri,tara78@example.com,9.15569E+11,"17/31, Dora Chowk Erode-651124",Kota,192064,19-06-2024,Premium,2,806.6199951
3468355,Chameli Subramanian,lekhanarula@example.org,9.18771E+11,73/891 Tailor Nagar Raiganj-161841,Pune,427282,02-06-2024,New,1,1734.51001
3483295,Maya Nath,nmadan@example.org,9.1052E+11,573 Devi Ganj Rajahmundry 145523,Imphal,632918,08-03-2024,Inactive,1,1334.48999
3491230,Ucchal Chana,bariabina@example.org,9.14634E+11,"52/516, Khalsa Zila Kota-913116",Khora ,876370,01-06-2023,New,0,226.6199951
3588443,Yashica Pingle,nakul94@example.org,9.18447E+11,"63/847 Garg, Gwalior 577648",Rohtak,586174,11-04-2024,Premium,2,1727.180054
3638834,Falan Nayak,garaveer@example.com,9.15781E+11,"38/514, Deo Zila, Morbi 793612",Warangal,563073,08-07-2023,Premium,2,1142.060059
3660263,Jagdish Bains,qsrinivas@example.org,9.13911E+11,"787 Bora Circle, Madurai 132549",Phagwara,202676,27-05-2023,Regular,1,1573.910034
3730316,Ishanvi Shankar,daksha35@example.org,9.12906E+11,356 Mohan Nagar Cuttack-228642,Berhampore,968515,20-03-2023,Regular,3,215.7200012
3786105,Ojas Sankaran,jyoti35@example.net,9.18374E+11,"H.No. 66 Mahajan Chowk, Yamunanagar 911948",Kirari Suleman Nagar,288478,02-06-2024,New,2,1172.319946
3844290,Yashawini Thaman,kohliwyatt@example.com,9.15486E+11,"H.No. 37, Patla Circle Madurai 325088",Berhampore,88516,29-10-2023,Inactive,2,301.730011
3872421,Ladli Saran,virkfalak@example.com,9.1997E+11,H.No. 56 Date Circle Uluberia-147880,Panvel,973220,06-07-2023,Premium,1,1468.97998
3875480,Harshil Mital,qnarula@example.com,9.18583E+11,58 Chaudhry Zila Bhind 676771,Berhampur,743842,26-05-2024,Inactive,1,1863.48999
3893903,Bimala Sura,aradhanaganesh@example.net,9.19431E+11,"H.No. 05, Balay Zila, Hazaribagh 973916",Bathinda,546301,23-03-2023,New,1,1922.709961
3897936,Maanav Singh,unnikarpe@example.com,9.11787E+11,"H.No. 954, Subramaniam Circle Mangalore-854236",Pudukkottai,100457,26-09-2023,Premium,5,215.1600037
3999964,Ansh Minhas,nbir@example.net,9.11642E+11,"H.No. 82, Madan Road Jalandhar-138003",Orai,33590,08-08-2023,Premium,2,1147.01001
4055790,Noah Malhotra,dkannan@example.net,9.15394E+11,H.No. 71 Bhatia Ganj Kavali 971275,Jamnagar,170135,14-11-2023,Regular,2,1178.810059
4057678,Brijesh Khalsa,rrai@example.org,9.1964E+11,"96/44, Bhargava Bikaner 112116",Kadapa,383118,27-05-2023,Inactive,2,882.6300049
4192351,Leela Date,vbalasubramanian@example.net,9.15977E+11,"H.No. 10 Banik Ganj, Kavali-006107",Nandyal,871014,20-01-2024,Inactive,1,625.3599854
4200802,Chakrika Gaba,ekavir26@example.net,9.16706E+11,"20 Gokhale Chowk, Fatehpur-880669",Ramgarh,860603,15-11-2023,Inactive,1,678.960022
4356173,Jalsa Khatri,mahajanbakhshi@example.org,9.11964E+11,"48, Patla Ganj, Avadi 838391",Rajkot,763603,10-09-2024,New,3,1838.560059
4378755,Oscar Ratta,wguha@example.com,9.16825E+11,"18/375, Ramachandran Circle Karnal 455818",Pali,583209,10-11-2023,Premium,3,1144.900024
4386273,Jagrati Sengupta,pandeymahika@example.org,9.11622E+11,"20, Jayaraman Zila Khora -207127",Nandyal,494307,26-06-2024,Inactive,3,298.9700012
4394659,Xalak Goel,thakurmitali@example.org,9.15367E+11,"69/41, Sen Nagar Bhagalpur-361305",Pune,92392,25-08-2023,New,2,291.769989
4438410,Siya Mittal,kdara@example.net,9.1826E+11,"09/37 Gulati Chowk, Kanpur 441894",Panipat,368597,17-10-2024,Inactive,0,1868.709961
4439806,Balendra Sethi,johalmadhavi@example.net,9.12827E+11,"89/706, Grewal Street, Jalgaon-268348",Mathura,838796,19-04-2024,New,3,790.5900269
4444673,Chatresh Patla,owenkhatri@example.net,9.1527E+11,H.No. 70 Kade Marg Mysore 259029,Srikakulam,440337,24-06-2023,New,1,584.6900024
4458329,Nimrat Sandal,manyachatterjee@example.net,9.14812E+11,85/452 Khatri Jammu 831625,Mira-Bhayandar,842142,01-07-2024,Inactive,1,1617
4543215,Farhan Soni,binakala@example.com,9.10054E+11,84/481 Gupta Marg Kolhapur-377160,Satna,339165,21-10-2023,Premium,1,526.7000122
4545935,Aayush Ahluwalia,jagdish37@example.org,9.10926E+11,"42, Bajwa Road, Nadiad-839395",Warangal,731038,06-08-2024,Regular,0,1931.099976
4594944,Hardik Mane,abduldara@example.org,9.1483E+11,10/82 Sur Zila Dibrugarh 044825,Cuttack,599557,26-03-2024,Inactive,1,857.1300049
4597433,Lipika Kumer,faras46@example.org,9.17227E+11,"H.No. 038, Devan Path, Bally-571011",Tadepalligudem,580130,02-04-2024,Inactive,6,821.8400269
4606533,Anusha Bhagat,triya55@example.org,9.17201E+11,14 Bhagat Path Shivpuri 856011,Rajpur Sonarpur,696982,30-07-2024,Premium,1,704.1400146
4618801,David Saran,dalbir79@example.org,9.15689E+11,"24, Dayal Chowk Avadi 300543",Jodhpur,869099,16-11-2023,Premium,0,201.5599976
4758426,Qushi Dash,contractorurishilla@example.org,9.16167E+11,78 Jha Zila Chandrapur 263897,Vijayawada,415274,06-01-2024,New,2,448.8099976
4789829,Balvan Shah,fbala@example.net,9.11177E+11,"H.No. 65, Gill Circle, Sambhal-800756",Rourkela,313467,02-11-2024,Regular,2,229.7599945
4849477,Caleb Ram,leenamahal@example.com,9.11527E+11,H.No. 984 Chaudhry Street Alwar-501673,Hosur,328080,22-07-2023,Premium,0,1782.349976
4862761,Maya Chatterjee,quincyacharya@example.net,9.17319E+11,"45, Sachar Ganj, Imphal 709402",Eluru,153679,31-08-2023,Premium,2,477.1900024
4869199,Advik Bajwa,mahikakakar@example.org,9.14975E+11,"785, Mital Chowk Naihati 597518",Siwan,803941,16-10-2024,New,0,1695.800049
4940671,Sarthak Doshi,fariq53@example.org,9.1056E+11,"42, Mand Nagar Kolkata-949731",Silchar,431653,17-06-2024,Inactive,1,494.0299988
4988545,Prisha Jha,urvibuch@example.net,9.1588E+11,"82/952, Behl Street Sikar 557241",Anantapuram,576389,06-04-2023,Regular,2,1251.780029
5001749,Dayamai Chanda,ekta28@example.com,9.17871E+11,"H.No. 218 Srinivas Road, Kalyan-Dombivli-797929",Kota,761952,06-06-2023,Inactive,2,1623.47998
5009458,Yasti Choudhary,diyabal@example.com,9.12821E+11,"H.No. 14 Yogi Marg, Noida-862686",Thiruvananthapuram,525644,17-08-2023,Inactive,0,1712.140015
