customer_id,customer_name,area,Recency,Frequency,Monetary,Cluster,Segment
31813,Indrajit Pau,Sultan Pur Majra,26,2,5726.04,1,Regular Customers
61020,Onkar Suresh,Kurnool,66,3,7844.9,0,Loyal Customers
119099,Zansi Parsa,Kavali,165,4,14768.77,2,Premium Customers
188838,Idika Basu,Madanapalle,260,2,5182.04,1,Regular Customers
191616,Brijesh Tata,Pallavaram,165,2,4089.96,1,Regular Customers
211163,Hiral Baral,Satna,149,3,11984.36,2,Premium Customers
243838,Sudiksha Nagar,Visakhapatnam,336,3,6061.06,0,Loyal Customers
376144,Ira Chhabra,Anantapuram,114,5,9359.35,2,Premium Customers
408590,Januja Zachariah,Jorhat,322,1,1217.39,3,At Risk Customers
469006,Shivansh Loyal,Begusarai,162,3,5932.18,0,Loyal Customers
625395,Leena Loyal,Siliguri,34,4,7185.56,0,Loyal Customers
644189,Tanay Sahni,Bhopal,135,1,3376.0,1,Regular Customers
666589,Kevin Bassi,Morbi,286,1,222.15,3,At Risk Customers
701493,Ekaraj Saini,Shahjahanpur,139,3,8182.65,0,Loyal Customers
767523,Maya Khosla,Vasai-Virar,123,1,2358.76,1,Regular Customers
773410,Ladli Saha,Kota,82,1,1838.15,1,Regular Customers
820740,Mekhala Sathe,Ambala,10,3,5414.650000000001,0,Loyal Customers
899941,Lopa Venkataraman,Sambhal,340,2,7121.92,3,At Risk Customers
949062,Jackson Karpe,Mau,580,1,3558.14,3,At Risk Customers
954629,Fiyaz Mand,Begusarai,538,1,44.35,3,At Risk Customers
966247,Jeevika Deo,Junagadh,201,1,3110.34,1,Regular Customers
1108176,Charita Chad,Bhalswa Jahangir Pur,281,2,3667.81,3,At Risk Customers
1152215,Yachana Pathak,Dhanbad,485,1,1203.31,3,At Risk Customers
1174162,Anirudh Vig,Guna,19,3,3606.78,0,Loyal Customers
1200365,Avni Mistry,Thane,80,2,1543.77,1,Regular Customers
1301661,Yashvi Parekh,Saharanpur,125,1,1395.67,1,Regular Customers
1342184,Girish Sem,Dehradun,406,2,5899.87,3,At Risk Customers
1449273,Forum Deol,Pondicherry,431,2,4983.25,3,At Risk Customers
1469696,Gaurangi Banerjee,Jalna,227,2,3472.48,1,Regular Customers
1497747,Nachiket Kalla,Sangli-Miraj & Kupwad,522,1,1072.62,3,At Risk Customers
1507408,Kai Gara,Bangalore,402,3,3901.96,3,At Risk Customers
1529180,Darsh Gokhale,Bareilly,508,2,4575.31,3,At Risk Customers
1562083,Madhavi Mishra,Bhopal,54,2,4294.33,1,Regular Customers
1588560,Jeremiah Nath,Anantapuram,238,2,7210.93,0,Loyal Customers
1601161,Chanchal Thakur,Amaravati,70,5,8718.310000000001,2,Premium Customers
1603358,Samaksh Randhawa,Gandhinagar,426,3,7542.58,0,Loyal Customers
1655637,Turvi Radhakrishnan,Ichalkaranji,370,1,3517.14,3,At Risk Customers
1683786,Urvashi Balan,Hajipur,163,2,7133.27,0,Loyal Customers
1697604,Arjun Deep,Bongaigaon,281,3,8458.68,0,Loyal Customers
1705969,Qasim Kalla,Surat,267,2,5269.049999999999,1,Regular Customers
1719710,Pushti Sabharwal,Giridih,414,2,3996.81,3,At Risk Customers
1771249,Samesh Devi,Bathinda,241,1,2399.6,1,Regular Customers
1816969,Tejas Pillai,Vadodara,92,2,7750.559999999999,0,Loyal Customers
1855421,Jasmit Kibe,Kadapa,302,2,3712.43,3,At Risk Customers
1989720,Anusha Bahri,Saharanpur,92,2,3688.92,1,Regular Customers
2058037,Yutika Badal,Rajkot,5,4,10977.92,2,Premium Customers
2134827,Vasudha Kalita,Ambarnath,307,1,805.28,3,At Risk Customers
2136830,Bhavya Goswami,Bidhannagar,423,1,4369.13,3,At Risk Customers
2164524,Kamala Natt,Rohtak,369,4,4677.639999999999,0,Loyal Customers
2188994,Bimala Mitra,Patiala,168,1,3750.59,1,Regular Customers
2219590,Upadhriti Sandhu,Solapur,58,4,8078.45,0,Loyal Customers
2233446,Wakeeta Pillay,Panihati,257,2,4218.14,1,Regular Customers
2361575,Aarnav Seth,Faridabad,87,2,5598.2300000000005,1,Regular Customers
2365348,Zashil Varghese,Siwan,156,1,4789.73,1,Regular Customers
2391900,Nisha Gokhale,Bhagalpur,485,1,1381.22,3,At Risk Customers
2400009,Jonathan Korpal,Amaravati,167,3,5928.53,0,Loyal Customers
